APIS001,Apyc1,YP_009840594.1,pyrimidine cyclase system for antiphage resistance (Pycsar)
APIS001,Apyc1,YP_009840594.1,pyrimidine cyclase system for antiphage resistance (Pycsar)
APIS001,Apyc1,YP_009840594.1,pyrimidine cyclase system for antiphage resistance (Pycsar)
APIS001,Apyc1,YP_009840594.1,pyrimidine cyclase system for antiphage resistance (Pycsar)
APIS001,Apyc1,YP_009840594.1,pyrimidine cyclase system for antiphage resistance (Pycsar)
APIS001,Apyc1,YP_009840594.1,pyrimidine cyclase system for antiphage resistance (Pycsar)
APIS001,Apyc1,YP_009840594.1,pyrimidine cyclase system for antiphage resistance (Pycsar)
APIS001,Apyc1,YP_009840594.1,pyrimidine cyclase system for antiphage resistance (Pycsar)
APIS001,Apyc1,YP_009840594.1,pyrimidine cyclase system for antiphage resistance (Pycsar)
APIS001,Apyc1,YP_009840594.1,pyrimidine cyclase system for antiphage resistance (Pycsar)
APIS001,Apyc1,YP_009840594.1,pyrimidine cyclase system for antiphage resistance (Pycsar)
APIS001,Apyc1,YP_009840594.1,pyrimidine cyclase system for antiphage resistance (Pycsar)
APIS001,Apyc1,YP_009840594.1,pyrimidine cyclase system for antiphage resistance (Pycsar)
APIS001,Apyc1,YP_009840594.1,pyrimidine cyclase system for antiphage resistance (Pycsar)
APIS001,Apyc1,YP_009840594.1,pyrimidine cyclase system for antiphage resistance (Pycsar)
APIS001,Apyc1,YP_009840594.1,pyrimidine cyclase system for antiphage resistance (Pycsar)
APIS001,Apyc1,YP_009840594.1,pyrimidine cyclase system for antiphage resistance (Pycsar)
APIS001,Apyc1,YP_009840594.1,pyrimidine cyclase system for antiphage resistance (Pycsar)
APIS001,Apyc1,YP_009840594.1,pyrimidine cyclase system for antiphage resistance (Pycsar)
APIS001,Apyc1,YP_009840594.1,pyrimidine cyclase system for antiphage resistance (Pycsar)
APIS001,Apyc1,YP_009840594.1,pyrimidine cyclase system for antiphage resistance (Pycsar)
APIS001,Apyc1,YP_009840594.1,pyrimidine cyclase system for antiphage resistance (Pycsar)
APIS001,Apyc1,YP_009840594.1,pyrimidine cyclase system for antiphage resistance (Pycsar)
APIS001,Apyc1,YP_009840594.1,pyrimidine cyclase system for antiphage resistance (Pycsar)
APIS001,Apyc1,YP_009840594.1,pyrimidine cyclase system for antiphage resistance (Pycsar)
APIS001,Apyc1,YP_009840594.1,pyrimidine cyclase system for antiphage resistance (Pycsar)
APIS002,vs.4,NP_049728.1,cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002,vs.4,NP_049728.1,cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002,vs.4,NP_049728.1,cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002,vs.4,NP_049728.1,cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002,vs.4,NP_049728.1,cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002,vs.4,NP_049728.1,cyclic oligonucleotide-based antiphage signaling system (CBASS)
